,Area,Location,Latitude,Longitude
0,Amboli,"Andheri,Western Suburbs",19.1293,72.8434
1,"Chakala	Andheri,",Western Suburbs,19.111388,72.860833
2,D.N. Nagar,"Andheri,Western Suburbs",19.124085,72.831373
3,Four Bungalows,"Andheri,Western Suburbs",19.124714,72.82721
4,Lokhandwala,"Andheri,Western Suburbs",19.130815,72.82927
5,Marol,"Andheri,Western Suburbs",19.119219,72.882743
6,Sahar,"Andheri,Western Suburbs",19.098889,72.867222
7,Seven Bungalows,"Andheri,Western Suburbs",19.129052,72.817018
8,Versova,"Andheri,Western Suburbs",19.12,72.82
9,Mira Road,"Mira-Bhayandar,Western Suburbs",19.284167,72.871111
10,Bhayandar,"Mira-Bhayandar,Western Suburbs",19.29,72.85
11,Uttan,"Mira-Bhayandar,Western Suburbs",19.28,72.785
12,Bandstand Promenade,"Bandra,Western Suburbs",19.042718,72.819132
13,Kherwadi,"Bandra,Western Suburbs",19.0553,72.8314
14,Pali Hill,"Bandra,Western Suburbs",19.068,72.826
15,I.C. Colony,"Borivali (West),Western Suburbs",19.247039,72.84983
16,Gorai,"Borivali (West),Western Suburbs",19.250057,72.782021
17,Dahisa,Western Suburbs,19.250069,72.859347
18,Aarey Milk Colony,"Goregaon,Western Suburbs",19.148493,72.881756
19,Bangur Nagar,"Goregaon,Western Suburbs",19.167362,72.832252
20,Jogeshwari West,Western Suburbs,19.12,72.85
21,Juhu,Western Suburbs,19.1,72.83
22,Charkop,"Kandivali west,Western Suburbs",19.216182,72.830575
23,Poisar,"Kandivali west,Western Suburbs",19.204511,72.837639
24,Mahavir Nagar,"Kandivali west,Western Suburbs",19.211319,72.842737
25,Thakur village,"Kandivali east,Western Suburbs",19.210206,72.87298
26,Pali Naka,"khar,western Suburbs",19.062742,72.829396
27,Khar Danda,"khar,western Suburbs",19.068598,72.840042
28,Dindoshi,"Malad,western Suburbs",19.176382,72.864891
29,Sunder Nagar,"Malad,western Suburbs",19.175,72.842
30,Kalina,"Sanctacruz,western Suburbs",19.081667,72.841389
31,Naigaon,"Vasai,western Suburbs",19.351467,72.846343
32,Nalasopara,"Vasai,western Suburbs",19.4154,72.8613
33,Virar,western Suburbs,19.47,72.8
34,Irla,"Vile Parle,western Suburbs",19.108056,72.838056
35,Vile Parle,western Suburbs,19.1,72.83
36,Bhandup,Eastern Suburbs,19.14,72.93
37,Amrut Nagar,"Ghatkopar,Eastern Suburbs",19.102077,72.912835
38,Asalfa,"Ghatkopar,Eastern Suburbs",19.091,72.901
39,Pant Nagar,"Ghatkopar,Eastern Suburbs",19.08,72.91
40,Kanjurmarg,Eastern Suburbs,19.13,72.94
41,Nehru Nagar,"Kurla,Eastern Suburbs",15.451686,74.971977
42,Nahur,"Mulund,Eastern Suburbs",19.157,72.941
43,Chandivali,"Powai,Eastern Suburbs",19.11,72.9
44,Hiranandani Gardens,"Powai,Eastern Suburbs",19.118986,72.911767
45,Indian Institute of Technology BombayÂ campus,"Powai,Eastern Suburbs",19.133636,72.915358
46,Vidyavihar,Eastern Suburbs,19.08,72.896
47,Vikhroli,Eastern Suburbs,19.11,72.94
48,Chembur,Harbour Suburbs,19.051,72.894
49,Deonar,"Govandi,Harbour Suburbs",19.05,72.89
50,Mankhurd,Harbour Suburbs,19.05,72.93
51,Mahul,"Trombay,Harbour Suburbs",19,72.883333
52,Agripada,South Mumbai,18.9777,72.8273
53,Altamount Road,South Mumbai,18.9681,72.8095
54,Bhuleshwar,South Mumbai,18.95,72.83
55,Breach Candy,South Mumbai,18.967,72.805
56,Carmichael Road,South Mumbai,18.9722,72.8113
57,Cavel,South Mumbai,18.9474,72.8272
58,Churchgate,South Mumbai,18.93,72.82
59,Cotton Green,South Mumbai,18.986209,72.844076
60,Cuffe Parade,South Mumbai,18.91,72.81
61,Cumbala Hill,South Mumbai,18.965833,72.805833
62,Currey Road,South Mumbai,18.994,72.833
63,Dhobitalao,South Mumbai,18.9433,72.8286
64,Dongri,South Mumbai,19.283333,72.783333
65,Kala Ghoda,South Mumbai,18.9307,72.8331
66,Kemps Corner,South Mumbai,18.9629,72.8054
67,Lower Parel,South Mumbai,18.995278,72.83
68,Mahalaxmi,South Mumbai,18.983333,72.8
69,Mahim,South Mumbai,19.035,72.84
70,Malabar Hill,South Mumbai,18.95,72.795
71,Marine Drive,South Mumbai,18.944,72.823
72,Marine Lines,South Mumbai,18.9447,72.8244
73,Mumbai Central,South Mumbai,18.9697,72.8194
74,Nariman Point,South Mumbai,18.926,72.823
75,Prabhadevi,South Mumbai,19.0166,72.8295
76,Sion,South Mumbai,19.04,72.86
77,Walkeshwar,South Mumbai,18.947596,72.795957
78,Worli,South Mumbai,19,72.815
79,C.G.S. colony,"Antop Hill,South Mumbai",19.016378,72.856629
80,Dagdi Chawl,"Byculla,South Mumbai",18.977129,72.829131
81,Navy Nagar,"Colaba,South Mumbai",18.9012,72.8101
82,Hindu colony,"Dadar,South Mumbai",19.020841,72.8479
83,Ballard Estate,"Fort,South Mumbai",18.95,72.84
84,Chira Bazaar,"Kalbadevi,South Mumbai",18.94814,72.825462
85,Fanas Wadi,"Kalbadevi,South Mumbai",18.951811,72.825309
86,Chor Bazaar,"Kamathipura,South Mumbai",18.960321,72.827176
87,Matunga,South Mumbai,19.01798,72.844763
88,Parel,South Mumbai,18.99,72.84
89,Gowalia Tank,"tardeo,South Mumbai",18.96245,72.809703
90,Dava Bazaar,South Mumbai,18.946882,72.831362
91,Dharavi,Mumbai,19.040208,72.85085
92,Thane,Mumbai,19.2,72.97
